Timer,Station,Code Station,Coord,commune,groupe24,groupe44,groupe64,groupe99
2022-11-15 20:02:48,Benjamin Godard - Victor Hugo,16107,"[48.865983, 2.275725]",Paris,247,893,1874,4484
2022-11-15 20:02:48,Mairie de Rosny-sous-Bois,31104,"[48.871256519012, 2.4865807592869]",Rosny-sous-Bois,260,829,1783,4243
2022-11-15 20:02:48,Charonne - Robert et Sonia Delauney,11104,"[48.85590755596891, 2.3925706744194035]",Paris,302,994,2086,5010
2022-11-15 20:02:48,Mairie du 12ème,12109,"[48.840855311763, 2.3875549435616]",Paris,350,1170,2406,5800
2022-11-15 20:02:48,Cassini - Denfert-Rochereau,14111,"[48.837525839067, 2.3360354080796]",Paris,346,1164,2525,5985
2022-11-15 20:02:48,Saint-Sulpice,6003,"[48.85165383178419, 2.3308077827095985]",Paris,298,1031,2204,5191
2022-11-15 20:02:48,Bracion - Périphérique,15202,"[48.826103771275, 2.3004549373748]",Paris,392,1291,2711,6569
2022-11-15 20:02:48,Saint-Romain - Cherche-Midi,6108,"[48.84708159081946, 2.321374788880348]",Paris,322,1074,2266,5486
2022-11-15 20:02:48,Pierre et Marie Curie - Maurice Thorez,42016,"[48.81580226360801, 2.376804985105991]",Ivry-sur-Seine,421,1388,2980,7085
2022-11-15 20:02:48,Beaux-Arts - Bonaparte,6021,"[48.856451985395786, 2.334851883351803]",Paris,298,987,2077,4994
2022-11-15 20:02:48,Silly - Galliéni,21010,"[48.835583838706, 2.2325500845909]",Boulogne-Billancourt,340,1195,2507,6056
2022-11-15 20:02:48,Place Nelson Mandela,25006,"[48.862090937689715, 2.196576297283173]",Rueil-Malmaison,266,927,1925,4661
2022-11-15 20:02:48,Grande Armée - Brunel,17038,"[48.876116, 2.288124]",Paris,223,762,1621,3893
2022-11-15 20:02:48,Square Boucicaut,7003,"[48.851296433665276, 2.325061820447445]",Paris,298,1030,2203,5289
2022-11-15 20:02:48,Guersant - Gouvion-Saint-Cyr,17041,"[48.88287775178599, 2.287667370814871]",Paris,199,718,1492,3596
2022-11-15 20:02:48,Vaneau - Sèvres,7002,"[48.84856323305935, 2.3204218259345537]",Paris,321,1074,2266,5387
